creator_id,creator_name,signup_date,creator_type,followers
C0443,Creator_0443,2025-10-28 01:07:58,Artist,146
C0444,Creator_0444,2024-09-24 16:02:05,AI Creator,48
C0445,Creator_0445,2024-08-04 15:01:43,Influencer,20
C0446,Creator_0446,2024-09-23 20:58:36,AI Creator,149
C0447,Creator_0447,2024-05-11 07:19:44,Filmmaker,33
C0448,Creator_0448,2025-10-16 18:40:36,Filmmaker,10
C0449,Creator_0449,2025-03-12 23:31:51,Filmmaker,161
C0450,Creator_0450,2024-06-26 05:24:44,Artist,18
C0451,Creator_0451,2024-09-28 16:28:42,Artist,1917
C0452,Creator_0452,2026-05-12 09:28:03,Influencer,29
C0453,Creator_0453,2025-05-24 23:34:17,Filmmaker,10
C0454,Creator_0454,2025-08-29 08:40:00,AI Creator,419
C0455,Creator_0455,2026-01-25 11:06:42,Artist,47
C0456,Creator_0456,2024-12-19 19:38:13,Influencer,69
C0457,Creator_0457,2024-11-03 02:57:07,AI Creator,80
C0458,Creator_0458,2026-05-30 05:44:55,Community Creator,10
C0459,Creator_0459,2025-05-14 11:54:21,Filmmaker,10
C0460,Creator_0460,2024-07-09 15:55:09,AI Creator,533
C0461,Creator_0461,2026-01-27 01:19:22,AI Creator,10
C0462,Creator_0462,2025-11-03 21:18:16,Influencer,365
C0463,Creator_0463,2024-12-19 09:43:27,Community Creator,96
C0464,Creator_0464,2024-08-26 23:11:32,AI Creator,63
C0465,Creator_0465,2025-08-02 07:48:33,Filmmaker,29
C0466,Creator_0466,2025-04-24 10:10:20,Influencer,816
C0467,Creator_0467,2024-07-27 17:39:36,Artist,22
C0468,Creator_0468,2024-02-17 23:59:29,Filmmaker,23
C0469,Creator_0469,2025-12-23 11:02:38,Filmmaker,114
C0470,Creator_0470,2026-01-16 13:50:49,Community Creator,22
C0471,Creator_0471,2026-03-10 13:19:57,AI Creator,15
C0472,Creator_0472,2024-11-18 22:42:12,Influencer,47
C0473,Creator_0473,2025-09-13 00:30:48,AI Creator,116
C0474,Creator_0474,2025-05-30 12:24:28,Influencer,488
C0475,Creator_0475,2024-08-22 20:35:23,Influencer,624
C0476,Creator_0476,2026-03-28 20:44:38,Community Creator,10
C0477,Creator_0477,2024-10-23 09:00:41,Artist,179
C0478,Creator_0478,2024-01-27 16:15:45,Influencer,15
C0479,Creator_0479,2024-05-26 02:30:29,Artist,16
C0480,Creator_0480,2026-05-03 18:59:35,Community Creator,26
C0481,Creator_0481,2024-03-01 14:46:57,AI Creator,24
C0482,Creator_0482,2025-04-08 04:59:47,Filmmaker,14
C0483,Creator_0483,2025-03-04 01:18:02,Filmmaker,10
C0484,Creator_0484,2025-11-19 14:50:36,Community Creator,291
C0485,Creator_0485,2025-12-25 05:12:15,Influencer,150
C0486,Creator_0486,2025-02-21 05:24:41,Artist,50
C0487,Creator_0487,2025-07-11 03:58:03,Filmmaker,16
C0488,Creator_0488,2025-12-15 01:40:12,Influencer,226
C0489,Creator_0489,2026-02-15 15:40:09,Influencer,47
C0490,Creator_0490,2025-09-15 18:39:26,Community Creator,25
C0491,Creator_0491,2024-12-02 15:16:35,Community Creator,10
C0492,Creator_0492,2025-05-08 01:14:21,Influencer,97
C0493,Creator_0493,2025-09-29 08:40:44,Filmmaker,34
C0494,Creator_0494,2024-09-18 10:48:24,AI Creator,70
C0495,Creator_0495,2026-05-30 18:44:45,Filmmaker,62
C0496,Creator_0496,2025-01-26 10:13:46,Community Creator,110
C0497,Creator_0497,2025-10-29 18:57:47,Artist,66
C0498,Creator_0498,2025-03-22 07:24:01,Filmmaker,35
C0499,Creator_0499,2026-04-23 23:13:55,Artist,99
C0500,Creator_0500,2025-08-11 23:10:05,Filmmaker,160
